"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202201","23091010","零售包装狗食或猫食饲料的罐头","2626738","千克","0","?","4,656,351",
"202201","23091090","其他零售包装的狗食或猫食饲料","26722003","千克","0","?","126,776,061",
"202202","23091010","零售包装狗食或猫食饲料的罐头","856040","千克","0","?","1,970,918",
"202202","23091090","其他零售包装的狗食或猫食饲料","15370482","千克","0","?","72,381,834",
"202203","23091010","零售包装狗食或猫食饲料的罐头","2129913","千克","0","?","3,841,494",
"202203","23091090","其他零售包装的狗食或猫食饲料","23742230","千克","0","?","113,835,149",
"202204","23091010","零售包装狗食或猫食饲料的罐头","1972902","千克","0","?","3,907,022",
"202204","23091090","其他零售包装的狗食或猫食饲料","19557617","千克","0","?","101,238,829",
"202205","23091010","零售包装狗食或猫食饲料的罐头","2355661","千克","0","?","4,972,097",
"202205","23091090","其他零售包装的狗食或猫食饲料","22735929","千克","0","?","122,201,907",
"202206","23091010","零售包装狗食或猫食饲料的罐头","2516755","千克","0","?","4,532,911",
"202206","23091090","其他零售包装的狗食或猫食饲料","23608562","千克","0","?","107,307,885",
"202207","23091010","零售包装狗食或猫食饲料的罐头","2924470","千克","0","?","5,358,859",
"202207","23091090","其他零售包装的狗食或猫食饲料","23983326","千克","0","?","112,778,924",
"202208","23091010","零售包装狗食或猫食饲料的罐头","2018216","千克","0","?","4,189,848",
"202208","23091090","其他零售包装的狗食或猫食饲料","20496388","千克","0","?","103,352,612",
"202209","23091010","零售包装狗食或猫食饲料的罐头","1202892","千克","0","?","2,834,828",
"202209","23091090","其他零售包装的狗食或猫食饲料","15850875","千克","0","?","83,404,597",
"202210","23091010","零售包装狗食或猫食饲料的罐头","2627740","千克","0","?","5,059,270",
"202210","23091090","其他零售包装的狗食或猫食饲料","16694961","千克","0","?","83,017,064",
"202211","23091010","零售包装狗食或猫食饲料的罐头","2118831","千克","0","?","3,648,943",
"202211","23091090","其他零售包装的狗食或猫食饲料","16526220","千克","0","?","77,877,994",
"202212","23091010","零售包装狗食或猫食饲料的罐头","2531510","千克","0","?","5,356,679",
"202212","23091090","其他零售包装的狗食或猫食饲料","17945254","千克","0","?","89,530,746",
