"数据年月","商品编码","商品名称","美元",
"202201","230910","零售包装的狗食或猫食饲料","131,432,412",
"202202","230910","零售包装的狗食或猫食饲料","74,352,752",
"202203","230910","零售包装的狗食或猫食饲料","117,676,643",
"202204","230910","零售包装的狗食或猫食饲料","105,145,851",
"202205","230910","零售包装的狗食或猫食饲料","127,174,004",
"202206","230910","零售包装的狗食或猫食饲料","111,840,796",
"202207","230910","零售包装的狗食或猫食饲料","118,137,783",
"202208","230910","零售包装的狗食或猫食饲料","107,542,460",
"202209","230910","零售包装的狗食或猫食饲料","86,239,425",
"202210","230910","零售包装的狗食或猫食饲料","88,076,334",
"202211","230910","零售包装的狗食或猫食饲料","81,526,937",
"202212","230910","零售包装的狗食或猫食饲料","94,887,425",
