"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","美元",
"202101","230910","零售包装的狗食或猫食饲料","116","日本","10,465,671",
"202102","230910","零售包装的狗食或猫食饲料","116","日本","6,439,820",
"202103","230910","零售包装的狗食或猫食饲料","116","日本","9,770,895",
"202104","230910","零售包装的狗食或猫食饲料","116","日本","8,900,918",
"202105","230910","零售包装的狗食或猫食饲料","116","日本","8,615,835",
"202106","230910","零售包装的狗食或猫食饲料","116","日本","9,012,337",
"202107","230910","零售包装的狗食或猫食饲料","116","日本","7,985,971",
"202108","230910","零售包装的狗食或猫食饲料","116","日本","9,605,987",
"202109","230910","零售包装的狗食或猫食饲料","116","日本","8,568,623",
"202110","230910","零售包装的狗食或猫食饲料","116","日本","9,415,408",
"202111","230910","零售包装的狗食或猫食饲料","116","日本","11,128,989",
"202112","230910","零售包装的狗食或猫食饲料","116","日本","10,377,651",
