"数据年月","贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","美元",
"202201","116","日本","230910","零售包装的狗食或猫食饲料","12,683,932",
"202202","116","日本","230910","零售包装的狗食或猫食饲料","5,566,642",
"202203","116","日本","230910","零售包装的狗食或猫食饲料","10,089,612",
"202204","116","日本","230910","零售包装的狗食或猫食饲料","8,824,760",
"202205","116","日本","230910","零售包装的狗食或猫食饲料","9,606,341",
"202206","116","日本","230910","零售包装的狗食或猫食饲料","7,710,674",
"202207","116","日本","230910","零售包装的狗食或猫食饲料","9,480,942",
"202208","116","日本","230910","零售包装的狗食或猫食饲料","11,244,967",
"202209","116","日本","230910","零售包装的狗食或猫食饲料","8,021,133",
"202210","116","日本","230910","零售包装的狗食或猫食饲料","9,724,542",
"202211","116","日本","230910","零售包装的狗食或猫食饲料","10,027,200",
"202212","116","日本","230910","零售包装的狗食或猫食饲料","10,845,374",
