"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","美元",
"201901","230910","零售包装的狗食或猫食饲料","305","法国","339,401",
"201902","230910","零售包装的狗食或猫食饲料","305","法国","187,873",
"201903","230910","零售包装的狗食或猫食饲料","305","法国","253,533",
"201904","230910","零售包装的狗食或猫食饲料","305","法国","355,890",
"201905","230910","零售包装的狗食或猫食饲料","305","法国","297,598",
"201906","230910","零售包装的狗食或猫食饲料","305","法国","231,437",
"201907","230910","零售包装的狗食或猫食饲料","305","法国","105,264",
"201908","230910","零售包装的狗食或猫食饲料","305","法国","235,996",
"201909","230910","零售包装的狗食或猫食饲料","305","法国","331,642",
"201910","230910","零售包装的狗食或猫食饲料","305","法国","134,039",
"201911","230910","零售包装的狗食或猫食饲料","305","法国","414,382",
"201912","230910","零售包装的狗食或猫食饲料","305","法国","276,384",
