"数据年月","贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","美元",
"202201","305","法国","230910","零售包装的狗食或猫食饲料","707,869",
"202202","305","法国","230910","零售包装的狗食或猫食饲料","479,529",
"202203","305","法国","230910","零售包装的狗食或猫食饲料","808,077",
"202204","305","法国","230910","零售包装的狗食或猫食饲料","362,008",
"202205","305","法国","230910","零售包装的狗食或猫食饲料","460,145",
"202206","305","法国","230910","零售包装的狗食或猫食饲料","533,906",
"202207","305","法国","230910","零售包装的狗食或猫食饲料","370,461",
"202208","305","法国","230910","零售包装的狗食或猫食饲料","390,879",
"202209","305","法国","230910","零售包装的狗食或猫食饲料","350,130",
"202210","305","法国","230910","零售包装的狗食或猫食饲料","286,874",
"202211","305","法国","230910","零售包装的狗食或猫食饲料","482,489",
"202212","305","法国","230910","零售包装的狗食或猫食饲料","482,943",
